	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1		CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2		CNF vs NF	CNF vs NF	CNF vs NF	CNF vs NF	
LOXL1	-3.754703204	2.28E-06	8.59E-06	4359.797645	 	-3.028382521	0.012364821	0.051635316	3892.147821	 	1.236540695	0.354257258	0.461943784	1048.164162	 
PDZD4	1.136365432	0.749450652	0.813278955	1606.210364	 	1.782130342	0.312912556	0.508378805	1606.210364	 	1.499957262	0.20990614	0.303213278	1606.210364	 
ASCC1	1.208312373	0.089406081	0.137615161	626.8035806	 	-1.043649214	0.823428742	0.899279624	654.9871731	 	-1.506809287	9.11E-06	3.95E-05	949.0579706	 
RNF181	-1.35770164	0.00631458	0.012929744	1052.234987	 	-1.40725477	0.075068417	0.194102398	1098.159858	 	-1.102090268	0.296576851	0.401006998	854.2978548	 
MRPL27	-1.281225342	0.00803156	0.016100453	994.638485	 	1.306876396	0.100050695	0.238459061	776.5418773	 	1.560489603	1.54E-08	1.06E-07	776.5418773	 
TTC13	-1.514808499	0.000109651	0.000315359	999.8680134	 	1.252178252	0.226437708	0.4140203	658.0029185	 	1.17975796	0.065588695	0.114862168	658.0029185	 
QRSL1	1.101034351	0.31627941	0.405172016	580.5118174	 	-1.1538712	0.388414836	0.580455439	669.8434983	 	-1.06530309	0.430559602	0.539135204	617.7885626	 
GTF2H5	3.82621677	2.33E-33	1.62E-31	1133.914166	 	1.325477697	0.139242438	0.297112816	1133.914166	 	1.131032465	0.180899108	0.268254461	1133.914166	 
GPATCH4	-1.543790824	0.004981092	0.010439499	1108.327607	 	1.339743052	0.264721629	0.456954248	715.164171	 	1.284284582	0.051069689	0.092538364	715.164171	 
C3orf18	1.173697195	0.410891298	0.502383014	469.5466319	 	2.06123137	0.026434591	0.091173741	469.5466319	 	1.113556284	0.503786629	0.610372231	469.5466319	 
IRF7	-1.332404901	0.329106935	0.418671018	737.7697237	 	1.408607211	0.457936225	0.64098876	554.6781399	 	1.154101189	0.551436929	0.654411667	554.6781399	 
TTC38	1.609313727	0.001808404	0.00412862	730.0697982	 	1.14815603	0.592479132	0.745578795	730.0697982	 	1.143802599	0.287035726	0.391245356	730.0697982	 
DOCK9	-1.295610697	0.111817387	0.166902434	4183.515531	 	2.022615805	0.010231379	0.044599237	3252.686274	 	-1.078847296	0.572112558	0.674496082	3475.857348	 
MSL2	-1.376542029	0.031615336	0.054954356	1467.70079	 	-1.311231505	0.281531623	0.474647146	1407.878601	 	-1.423086482	0.004090097	0.010049866	1517.559958	 
SCRN2	-1.279849033	0.169425549	0.239238377	1440.252681	 	2.917394745	0.000391117	0.003505994	1133.925048	 	1.30619761	0.071624717	0.123974078	1133.925048	 
C19orf25	1.908328633	3.58E-05	0.000112132	829.1213084	 	1.725093762	0.03949111	0.121957397	829.1213084	 	2.291266712	1.72E-10	1.57E-09	829.1213084	 
FLT1	-2.209924397	0.08974934	0.138080328	2696.858925	 	-2.545026575	0.130816063	0.285398433	4204.88447	 	-2.225871621	0.032249722	0.062202761	2716.012363	 
RECK	1.544187526	0.079297865	0.124029252	1695.809966	 	1.075778999	0.855078413	0.917071616	1695.809966	 	-1.183542499	0.406747158	0.515801889	2015.768784	 
MRPS14	1.893237364	2.05E-11	1.51E-10	819.9257346	 	1.635325886	0.002969476	0.017021831	819.9257346	 	-1.161455348	0.058142659	0.1036132	951.903601	 
SNAPC4	1.044228827	0.768091588	0.828217234	896.8897371	 	4.918197816	3.64E-10	4.28E-08	896.8897371	 	3.441566143	7.71E-24	3.81E-22	896.8897371	 
DPM2	2.497965045	6.27E-08	2.96E-07	657.6093553	 	1.199490967	0.522149273	0.691661076	657.6093553	 	1.198374189	0.19512669	0.285277799	657.6093553	 
GALNT7	-1.394342651	1	1	668.5557832	 	-1.427260822	1	1	692.3274731	 	-1.554361358	1	1	745.6714969	 
DPYD	-1.96171555	0.002932017	0.006435285	2346.39203	 	-1.870371188	0.090715095	0.222618647	2328.68688	 	-2.422353178	2.00E-06	9.66E-06	2910.971077	 
COL8A2	-3.826357036	0.000296467	0.000787721	4650.670576	 	-4.050916102	0.010390557	0.045135285	6270.544194	 	-1.122306332	0.701203803	0.788075293	1251.009003	 
FAM222B	-1.373186275	0.013607618	0.025930947	654.3748934	 	-1.559745363	0.042647339	0.129121133	749.6530617	 	-1.138604924	0.224987354	0.321091414	541.6810568	 
MRPL9	-1.140030099	0.284633369	0.37098951	1067.581919	 	1.388241129	0.118529131	0.267905048	937.0423842	 	1.085717047	0.41866246	0.527570534	937.0423842	 
GRK5	-1.255030076	0.188520843	0.262108957	859.299798	 	1.120171994	0.695861877	0.817115885	676.2569088	 	-2.130692203	1.11E-07	6.64E-07	1470.198302	 
HDDC2	-1.122389295	0.303364927	0.391821126	941.0361616	 	-1.663731385	0.007987727	0.036987743	1409.801141	 	-1.540500928	3.39E-06	1.58E-05	1295.044616	 
UXT	-1.250796786	0.07783793	0.122099995	886.7670097	 	-1.25132648	0.300763944	0.495676351	892.9444329	 	-1.081607693	0.456591726	0.56463909	766.6045109	 
MLLT3	-1.644253651	0.017550374	0.032526693	465.3002668	 	-1.215128885	0.573635746	0.731291948	345.5561655	 	-1.300242942	0.128976666	0.20270403	366.52543	 
MVB12A	1.06021387	0.669796384	0.744223122	911.5998493	 	1.137585713	0.580859231	0.737009912	911.5998493	 	1.644992597	1.25E-05	5.29E-05	911.5998493	 
C19orf71	4.2012538	0.001479967	0.003442817	191.7658197	 	4.533767218	0.013407577	0.05494022	191.7658197	 	14.14072631	7.57E-13	9.71E-12	191.7658197	 
ADAMTS12	-2.478647463	0.004875266	0.010244515	2136.397559	 	-1.658290213	0.306752535	0.501517032	1504.127489	 	-1.520371232	0.110988896	0.178907632	1278.325884	 
TSTA3	-1.663870976	4.98E-05	0.000152516	2474.826832	 	-1.26678532	0.269156958	0.461709019	1888.35083	 	2.662004004	7.90E-21	2.77E-19	1487.62456	 
MRPL23	-1.237923564	0.211268348	0.288794079	954.6995158	 	1.357396045	0.287612296	0.481244321	770.6896557	 	1.479690577	0.005575757	0.01328686	770.6896557	 
TIMELESS	-8.181720729	1.58E-23	4.39E-22	3197.89626	 	-1.495987735	0.246028947	0.436543808	578.7666238	 	1.013776629	0.937249998	0.970127867	369.7225154	 
SYS1	-2.986797082	1.24E-25	4.12E-24	1696.127885	 	-2.289239337	3.89E-06	8.60E-05	1314.247637	 	-1.881682985	3.82E-13	5.10E-12	1066.8928	 
HSDL2	2.481915232	3.12E-10	1.98E-09	1349.529058	 	1.439622293	0.1367848	0.293858861	1349.529058	 	-1.498418017	0.000686474	0.002037375	2026.471116	 
TPBG	-2.410246476	0.000365095	0.000956023	3906.121742	 	-2.886877472	0.007839298	0.036435763	5098.899851	 	1.113293579	0.59630715	0.696623599	1549.234126	 
IRF2BP1	-2.135516166	0.001265092	0.002982977	1643.67253	 	-1.198465521	0.636477783	0.778696718	921.0228442	 	1.102335565	0.614700109	0.712911401	748.7072734	 
PRPSAP2	1.182448101	0.065897119	0.105343944	551.3117129	 	-1.154120803	0.363464984	0.556234576	638.7656485	 	-1.397947539	1.03E-05	4.40E-05	770.7342443	 
LETMD1	3.007278988	8.17E-19	1.41E-17	2080.528016	 	2.652023085	4.56E-06	9.76E-05	2080.528016	 	1.61340841	3.27E-06	1.52E-05	2080.528016	 
SLC25A30	1.120510089	0.592822079	0.676482431	690.4307212	 	1.395213869	0.342657452	0.53772781	690.4307212	 	-1.107331875	0.560599581	0.663340674	762.1011954	 
EOGT	-1.48593648	0.04049139	0.068430938	928.6569743	 	-1.444843053	0.252159364	0.443281883	918.5801461	 	-1.036836647	0.820659244	0.883370741	644.081463	 
RPRD1B	-1.770841184	1.12E-12	9.66E-12	1976.743803	 	-1.300750212	0.058634864	0.163365177	1453.843264	 	-1.055486987	0.421077426	0.530137078	1176.561616	 
COA4	1.124608847	0.306413108	0.394818208	619.4001255	 	1.19731184	0.362582432	0.555515784	619.4001255	 	1.055346897	0.573186209	0.67552511	619.4001255	 
DCP2	1.091272659	0.355464346	0.447028176	1348.968554	 	-1.511896667	0.01089259	0.046776947	2053.417369	 	-1.230448716	0.008187198	0.018658603	1661.832981	 
TTC21B	-2.039675649	2.70E-06	1.01E-05	2228.23109	 	1.040044377	0.878631294	0.930985036	1083.690118	 	-1.006527321	0.958711477	0.984045425	1091.906006	 
WDR3	-3.284589489	2.06E-17	3.04E-16	2895.664164	 	-1.692072817	0.026968664	0.092562714	1501.92976	 	-1.305146055	0.021711723	0.044065339	1142.142953	 
RPF1	1.053224272	0.606818266	0.689366864	701.8896667	 	1.072274806	0.688651147	0.812889231	701.8896667	 	-1.07994104	0.359662125	0.467960931	758.7129847	 
FTSJ1	-1.790902167	0.0010557	0.002529318	1405.758416	 	-1.185192985	0.568471154	0.727110094	931.6205408	 	1.077740228	0.610631355	0.709366539	772.4539115	 
ZNF710	1.132924998	0.633995459	0.712969352	849.3199344	 	1.6141069	0.254558078	0.445498409	849.3199344	 	1.19755538	0.401721778	0.511086126	849.3199344	 
TCF7L2	1.33240577	0.078161281	0.122584352	1590.348981	 	1.606851989	0.084098724	0.21069532	1590.348981	 	1.392504215	0.013872907	0.029829764	1590.348981	 
SMOC1	-2.344690997	0.06888876	0.109552187	301.8003207	 	-2.054567979	0.244675162	0.434760482	328.8653672	 	-1.496308292	0.282341488	0.386104682	181.8065254	 
INPP4B	-2.122009289	0.003019941	0.00661101	1137.958163	 	-1.051888556	0.901513796	0.943913308	554.6040424	 	-1.386989439	0.116256284	0.18591941	734.1347686	 
SNRPG	1.468640736	0.003421629	0.007413162	834.972092	 	1.187214619	0.44370399	0.628923436	834.972092	 	1.430102055	0.001035218	0.002958594	834.972092	 
HERC6	-1.027893892	0.940031247	0.961959225	459.9722504	 	1.509506989	0.446900851	0.631570526	446.1850858	 	-1.917390677	0.028236625	0.055357477	895.8439355	 
DIAPH2	-2.546567709	2.14E-07	9.37E-07	1421.474169	 	-1.743758081	0.065004645	0.175852159	991.0135121	 	-2.200407103	1.14E-07	6.83E-07	1226.169084	 
SREK1IP1	4.444611465	6.47E-35	5.14E-33	1286.890621	 	1.227706899	0.31917676	0.515382859	1286.890621	 	1.295833965	0.009432898	0.021198813	1286.890621	 
NET1	-1.729094033	0.035091389	0.060372553	3717.349267	 	-2.652287219	0.019186959	0.07171932	6281.399393	 	-1.260767332	0.276605427	0.379587685	2683.42136	 
REEP2	-1.28226024	0.443677737	0.535501676	274.2079701	 	-1.134942143	0.7993205	0.885226961	245.8590571	 	-1.17068296	0.552069598	0.654825848	249.0338389	 
INTS5	-2.342131456	3.87E-16	5.07E-15	1234.83525	 	-1.230069698	0.251537846	0.442587543	647.9584019	 	-1.028464486	0.748683937	0.827410125	540.6984938	 
DCAF17	1.780606613	1.51E-06	5.83E-06	794.0748478	 	-1.06379074	0.762849064	0.862469116	845.0081251	 	1.022193652	0.82528097	0.887096609	794.0748478	 
RFXANK	-1.90659542	1.94E-06	7.36E-06	1214.009668	 	-1.220153804	0.389137283	0.581213523	778.4500515	 	1.078394838	0.503163579	0.60979307	631.4521127	 
SCRN3	1.417582835	1.34E-05	4.47E-05	632.1337346	 	1.056140043	0.695726275	0.817045698	632.1337346	 	-1.006742223	0.920290396	0.958056708	636.9003167	 
RIPK2	-2.133578467	3.82E-07	1.61E-06	909.7828351	 	-2.320491737	0.000853559	0.006461291	1013.660576	 	-1.634611272	7.16E-05	0.000262586	694.6193748	 
TOPORS	-2.457833318	4.51E-12	3.59E-11	1766.190852	 	-1.186839214	0.440198289	0.626584725	851.320657	 	-1.584741681	1.93E-05	7.89E-05	1134.915136	 
PAQR8	2.590436398	0.001847307	0.00420889	854.6144787	 	1.094604023	0.849115952	0.913543695	854.6144787	 	-3.51942704	4.52E-07	2.44E-06	3244.021715	 
ZNF407	-8.0810801	2.90E-100	1.63E-96	3395.184697	 	-1.518213458	0.014320086	0.057574279	636.1512553	 	-1.492470317	1.24E-06	6.27E-06	622.7655762	 
NSUN4	1.145010998	0.162861695	0.231309816	730.723217	 	1.367300311	0.063578892	0.172918794	730.723217	 	1.200575393	0.024239648	0.048464888	730.723217	 
NANS	-2.134062758	1	1	1200.489841	 	-1.473907632	1	1	834.1760355	 	-1.185423288	1	1	664.8440876	 
CHML	-1.040288369	0.863432537	0.904729946	1020.617631	 	1.384691974	0.385551073	0.57777404	982.0388521	 	-1.162706885	0.424440013	0.533252901	1143.537275	 
UBE2F	1.395787778	0.040997839	0.069210343	549.1251276	 	-1.870041749	0.022430761	0.080732321	1065.813539	 	-1.603217126	0.00045793	0.001412678	893.4810848	 
ITFG2	1.491067862	0.000380373	0.000992476	1342.978673	 	1.78315127	0.002793503	0.016262321	1342.978673	 	1.650124013	8.33E-08	5.12E-07	1342.978673	 
TRIM32	-3.723098582	8.94E-43	1.51E-40	1538.416405	 	-1.677637998	0.001830909	0.011746395	695.3574226	 	-1.540781299	7.93E-08	4.89E-07	634.2375457	 
RRP15	1.021012721	0.916998807	0.943853053	923.6028728	 	1.057253877	0.866360138	0.923213036	923.6028728	 	1.160225816	0.366262312	0.475284764	923.6028728	 
RHBDF2	1.542610292	0.195147363	0.270361079	1099.012399	 	1.115472954	0.829860651	0.902715053	1099.012399	 	-1.414467498	0.202958631	0.295010044	1580.360662	 
PDZD2	-1.486744568	0.396820633	0.488340181	3411.127843	 	1.321151158	0.652584335	0.789403965	2190.594068	 	-2.744192358	0.00697785	0.016241414	6800.957845	 
TTC4	-1.55273285	0.074106206	0.11682372	956.3972279	 	-1.271741362	0.546329914	0.710452453	794.0932611	 	-1.070540707	0.736308845	0.817802184	652.5059027	 
ACSF3	1.367255345	0.001328319	0.003118075	1025.023146	 	2.195718826	3.78E-06	8.41E-05	1025.023146	 	2.525755663	1.48E-29	1.30E-27	1025.023146	 
BCKDHA	-1.174310195	0.604028672	0.687239063	763.1974951	 	1.029019961	0.952510117	0.973902685	652.5411051	 	1.3655691	0.21833201	0.313267878	652.5411051	 
C9orf64	-1.077820784	0.777297906	0.835519491	500.8961379	 	-1.252971634	0.594568407	0.747047847	597.8262791	 	-1.376813641	0.141081408	0.218052583	644.9485012	 
TMEM98	-1.408800077	0.430454955	0.522429058	2212.798525	 	-1.973514394	0.256162788	0.447470393	3869.758021	 	-1.914960544	0.062961637	0.110919846	3106.183731	 
PLXNB1	1.19032275	0.515077472	0.60475309	3884.557232	 	5.059372634	0.000149204	0.001626193	3884.557232	 	4.072572502	1.54E-10	1.42E-09	3884.557232	 
FBXO34	-3.259072283	1.86E-47	4.59E-45	2132.342692	 	-1.262800814	0.10097432	0.239706956	826.1460505	 	-1.195165811	0.009432231	0.021198813	780.0892358	 
MIIP	-1.37796592	0.161423704	0.229558238	1057.650712	 	2.118840235	0.045236152	0.135041871	773.9913141	 	1.645522855	0.008260254	0.018809248	773.9913141	 
PDCD7	1.061767141	0.585134895	0.669983239	884.5394653	 	1.336276538	0.125619076	0.278275879	884.5394653	 	1.010098119	0.912325959	0.952660467	884.5394653	 
SNX30	2.112180191	4.17E-08	2.02E-07	1575.367266	 	1.064655759	0.786704764	0.878107722	1575.367266	 	-1.231031578	0.064847242	0.11381256	1935.713427	 
SMC4	-4.47352113	9.32E-09	4.93E-08	8224.564645	 	-1.588655037	0.268131956	0.460535674	2946.682434	 	1.047904075	0.826823602	0.888016997	1701.687764	 
TTLL5	-3.764375386	5.36E-36	4.67E-34	2284.548555	 	1.060955629	0.746946512	0.852518459	600.7642315	 	-1.110899862	0.234628877	0.331754778	669.4939579	 
GPD1L	1.744891108	0.001892037	0.004299712	1281.103721	 	1.593106802	0.120539385	0.270729187	1281.103721	 	-2.314950249	1.28E-08	8.94E-08	2989.47833	 
ITPKC	-1.050727802	0.844396996	0.889575041	1137.847302	 	1.389276986	0.418564576	0.607801818	1084.067834	 	-1.293072205	0.213949786	0.307767828	1409.012158	 
IGBP1	1.074549293	0.552122644	0.639233892	1363.159997	 	-1.12932361	0.555871497	0.718217234	1547.157635	 	-1.161120253	0.135625174	0.21115244	1586.572583	 
CETN2	-1.138458086	0.2957045	0.383506683	707.34882	 	-1.655178221	0.017209891	0.06618906	1041.757131	 	-1.724750532	1.13E-07	6.77E-07	1074.842035	 
CWC22	-1.475040078	0.000173415	0.000481378	1181.591241	 	-1.705688336	0.002647982	0.015577437	1377.131462	 	-1.367175513	0.000279356	0.000901475	1095.421156	 
ZNF189	-2.624450145	1.24E-14	1.35E-13	1480.664934	 	-1.058248468	0.791967019	0.880889916	594.2399684	 	-1.684265815	5.24E-07	2.80E-06	947.514343	 
TNFRSF10D	-8.079754426	2.01E-11	1.48E-10	2373.283229	 	-7.688664505	2.32E-05	0.0003635	2834.373637	 	-2.711243965	8.88E-05	0.000318779	757.802152	 
PQBP1	-1.118632351	0.401934136	0.493548239	1347.768984	 	1.592426914	0.041604171	0.126935014	1210.45757	 	1.870173743	1.76E-08	1.20E-07	1210.45757	 
PPIF	1.793292199	0.001433946	0.003343449	901.3410407	 	-1.278850585	0.420904614	0.610106528	1171.235516	 	1.444300319	0.015071101	0.032053724	901.3410407	 
POLD1	-4.18848718	1.14E-15	1.40E-14	2317.293973	 	-1.110197305	0.727315502	0.839034974	605.5054262	 	1.719413848	0.000262473	0.000851569	539.2998545	 
C12orf65	3.011222181	1.49E-21	3.43E-20	960.3754532	 	3.833272579	2.87E-11	5.48E-09	960.3754532	 	3.716399065	1.50E-41	4.69E-39	960.3754532	 
TOR3A	-1.804057311	1.55E-05	5.13E-05	1607.132107	 	1.266469989	0.310576605	0.505626824	885.2460808	 	-1.050690548	0.662215571	0.754389304	932.2273014	 
HOXC4	1.590536727	0.394884496	0.486703967	432.4247556	 	1.257712613	0.720258631	0.834219369	432.4247556	 	1.438772093	0.396879358	0.506150586	432.4247556	 
CCP110	-1.174678366	0.205511787	0.282140458	1133.928576	 	1.201457118	0.398671382	0.590123946	965.2719264	 	-1.040107626	0.709163987	0.794526319	1001.85755	 
SOX8	1.980242468	0.234790285	0.315662494	1853.261561	 	1.371550193	0.619744219	0.765738702	1853.261561	 	-1.797366452	0.191675043	0.28111114	3289.705314	 
FOXC1	-2.242407586	0.016920305	0.031494312	670.6271732	 	-2.305587366	0.103061195	0.243248195	783.448079	 	-2.293254072	0.002571424	0.00665059	686.2423912	 
MOB3C	1.225853795	0.212049015	0.28957879	936.9021739	 	1.779244938	0.036609136	0.115527667	936.9021739	 	-1.019578722	0.88562857	0.933163288	948.3243915	 
TUB	-1.624062069	0.106378359	0.159890761	1226.827517	 	-1.504257237	0.383699317	0.576224502	1190.387983	 	-1.053321154	0.832388767	0.892284683	780.6542305	 
POP4	1.156511631	0.057010556	0.092688308	638.9523496	 	1.189120867	0.196757977	0.376977957	638.9523496	 	1.068845628	0.300744776	0.405729236	638.9523496	 
TACC2	1.17031643	0.361858182	0.453306477	3225.769263	 	4.384419652	3.47E-07	1.27E-05	3225.769263	 	3.608727441	2.15E-19	6.19E-18	3225.769263	 
MRPS15	-1.318079239	0.03389722	0.058503575	1080.517036	 	-1.016786474	0.940291967	0.965980724	831.9517367	 	-1.058575317	0.598137626	0.698228535	868.6338363	 
DDX51	1.224234289	0.245800526	0.327896498	1479.024341	 	4.056109093	1.92E-06	4.88E-05	1479.024341	 	2.549355894	8.60E-11	8.21E-10	1479.024341	 
FBXL17	1.251801134	0.109086437	0.163435309	935.3737119	 	-1.041190403	0.865347867	0.922789653	975.2505557	 	-1.541863236	0.000185145	0.000619444	1448.363371	 
STX17	1.048259147	0.657292948	0.733577312	638.3590916	 	1.42208667	0.05607728	0.158220688	638.3590916	 	-1.06207486	0.496228058	0.603344156	678.1473557	 
GABRA2	-1.560645439	0.41467697	0.506165321	284.402104	 	-1.052185561	0.936676143	0.963869713	180.6406871	 	-1.203394269	0.666486598	0.758266189	207.2334572	 
HTRA2	-1.363853349	0.02711395	0.04800099	1124.971652	 	1.099508766	0.691404665	0.814123468	823.5077104	 	1.078049442	0.518634867	0.624142584	823.5077104	 
IMPA2	2.227310857	0.000817485	0.0020028	2247.001197	 	6.633553716	1.21E-06	3.36E-05	2247.001197	 	8.295813485	7.95E-27	5.35E-25	2247.001197	 
SGPP1	1.113992117	0.337452228	0.427533402	818.0232677	 	-1.353899486	0.115821157	0.263453952	1114.964869	 	-1.458407104	5.23E-05	0.000197184	1194.938239	 
MFAP3	-2.209199025	3.32E-08	1.63E-07	989.9681212	 	-2.627584162	7.04E-05	0.000902629	1207.995741	 	-2.495174429	1.40E-14	2.21E-13	1119.107108	 
R3HCC1	-2.152457361	7.01E-10	4.24E-09	1637.38635	 	1.086557934	0.696934364	0.818019644	756.1407019	 	1.108834158	0.318023578	0.424174351	756.1407019	 
SLC35B3	1.532879932	9.91E-05	0.000287052	842.3377163	 	-1.076656401	0.694658709	0.816540747	906.8483174	 	1.228017426	0.024416808	0.048778513	842.3377163	 
SLC36A4	-1.051927872	0.714967724	0.783237293	384.9108065	 	-1.39456865	0.158629922	0.324110991	515.7061455	 	-1.214413509	0.091902128	0.152986938	444.4340537	 
NOB1	-1.100764643	0.395734912	0.487430647	1113.838389	 	-1.064512038	0.7470547	0.852581897	1078.584435	 	1.110679291	0.26380466	0.364999224	1011.668919	 
ZFPL1	-1.380311602	0.014806928	0.027988055	1060.945457	 	1.299224871	0.247264961	0.437826201	767.9974774	 	1.5084543	0.000189053	0.00063089	767.9974774	 
DHX57	-2.932920969	3.88E-33	2.60E-31	2515.233788	 	-1.30803849	0.083647209	0.209791136	1120.92576	 	-1.115095558	0.146454153	0.225012552	951.9598482	 
DOK6	1.325991884	0.588378811	0.672735773	396.3427151	 	-1.254151412	0.722528725	0.835773538	507.5096834	 	-2.154495596	0.062839172	0.110727295	854.9508555	 
SCML1	1.870504148	0.000809769	0.001984771	800.0481161	 	1.893457192	0.041099599	0.125763518	800.0481161	 	1.908371806	2.89E-05	0.000114768	800.0481161	 
TDP1	-3.831617185	3.24E-17	4.70E-16	951.379356	 	-1.455353502	0.16442697	0.332683609	362.0351855	 	-1.136602104	0.335333703	0.442212447	278.5249084	 
RNF157	-1.127501591	0.79508369	0.850344181	783.1921184	 	1.46158858	0.537535841	0.702697101	630.4244435	 	-3.186445627	0.001723317	0.004666634	2515.778997	 
ACOT11	-1.81111892	0.001060431	0.002538814	933.6326461	 	2.915563232	0.000496858	0.004213801	525.602386	 	5.742664527	4.56E-30	4.26E-28	525.602386	 
APOBEC3G	1.026590117	0.927703485	0.952450551	632.1667018	 	-1.378610065	0.480362524	0.658565985	906.0576438	 	-1.524281985	0.074743763	0.128434343	969.0502997	 
PARL	1.042800124	0.678134901	0.751403314	1046.951827	 	1.107370271	0.557924827	0.719677617	1046.951827	 	-1.187564287	0.040345961	0.075524371	1243.764726	 
RHBDD1	1.867893772	1.75E-07	7.77E-07	586.5067708	 	-1.544382159	0.032889109	0.10686323	918.2186618	 	-1.928921898	2.88E-11	2.95E-10	1139.098964	 
EML4	-2.358504766	2.77E-08	1.37E-07	4452.80035	 	-2.544037277	0.00033684	0.003091264	4941.436593	 	-1.101985055	0.446439768	0.555128675	2063.319723	 
TXLNG	1.009109662	0.94264247	0.963963258	729.8356658	 	1.722185422	0.012224098	0.05125898	729.8356658	 	-1.156038352	0.165462055	0.24894054	845.4546371	 
BCL10	1.090043336	0.571700745	0.657915486	503.8299886	 	-1.31807408	0.284123692	0.477279505	674.2589384	 	-1.575060525	0.000313853	0.0010007	800.7485891	 
EMC6	-1.231218859	0.295849174	0.383586745	372.9157625	 	1.079814206	0.816685912	0.895427973	300.2806941	 	1.198197183	0.272742968	0.374960272	300.2806941	 
FBXL6	-2.568092053	1.39E-10	9.30E-10	1899.972456	 	1.439500103	0.145635128	0.305502009	737.899541	 	3.265989426	8.25E-22	3.22E-20	737.899541	 
HSD17B11	1.392862975	0.0726891	0.114880471	1352.986323	 	-1.64885135	0.104097375	0.244710981	2298.17271	 	-1.968862773	8.36E-06	3.64E-05	2692.350494	 
UHRF1BP1	-2.688336505	2.70E-10	1.73E-09	1930.724172	 	-1.382239599	0.221037787	0.407410373	995.2006116	 	-1.69257265	4.82E-05	0.000183183	1210.297061	 
SELENBP1	-1.104597664	0.746993472	0.811051256	1969.669278	 	2.54180162	0.051315761	0.1483279	1860.797251	 	1.201825116	0.46517334	0.572497469	1860.797251	 
CRY1	-2.418780188	8.23E-10	4.95E-09	1690.221445	 	-1.415107907	0.154969161	0.318931453	992.1380961	 	-1.139893192	0.272309767	0.37442593	791.1726406	 
CEPT1	2.15972363	5.86E-11	4.08E-10	1156.879997	 	1.321320504	0.166288429	0.335161867	1156.879997	 	1.061998231	0.53656398	0.640454589	1156.879997	 
C12orf10	-1.543711148	5.67E-06	2.01E-05	1113.235502	 	1.33340103	0.08433653	0.211118906	720.7302339	 	1.113020697	0.181428553	0.268802575	720.7302339	 
MICA	-2.175449053	0.004739787	0.009987281	1433.932041	 	-1.07763412	0.864236263	0.922005423	698.4245896	 	1.324118381	0.213441076	0.30725231	624.3884426	 
OSBPL1A	1.384053147	0.45752337	0.549099869	1693.51704	 	-1.205270814	0.755887904	0.858491609	2165.13409	 	-1.687163137	0.136694175	0.212482377	2965.576914	 
TOB1	1.595460143	1	1	1725.661496	 	-1.002655998	1	1	1725.661496	 	-1.185958964	1	1	2034.505199	 
IGSF11	11.4347841	3.14E-08	1.55E-07	1129.399383	 	4.776485065	0.009457133	0.042119195	1129.399383	 	-1.205393457	0.596960755	0.697196246	1129.399383	 
PDZD11	1.069927716	0.482752784	0.573769986	490.9387311	 	-1.291911614	0.123431262	0.275240845	639.3221867	 	-1.460209194	2.39E-06	1.14E-05	720.795453	 
DEDD2	1.211614682	0.226072737	0.305800013	678.5850074	 	1.213407874	0.470583745	0.650746651	678.5850074	 	1.855026989	2.72E-06	1.29E-05	678.5850074	 
ZBTB45	-1.249224657	0.180733261	0.252933326	509.6024185	 	1.227091897	0.466709751	0.647712576	408.1840739	 	1.557035357	0.001382033	0.003828761	408.1840739	 
PTBP2	1.310943342	0.222682189	0.301893578	919.846896	 	1.710240082	0.140851244	0.299493627	919.846896	 	1.266278273	0.196295585	0.28668769	919.846896	 
MAGI2	-2.403249292	0.000504979	0.001286855	908.4057763	 	-1.984191437	0.091688569	0.224166035	788.7641784	 	-1.669310994	0.013340678	0.02879022	623.9673003	 
RBM4B	1.13094228	0.299236209	0.387462835	704.8431565	 	1.684258508	0.010885846	0.046760378	704.8431565	 	1.522452689	2.16E-05	8.76E-05	704.8431565	 
CES1	-1.044913514	0.936707234	0.959663454	849.1093635	 	2.3163161	0.189447355	0.367028986	849.1093635	 	-1.246848947	0.61172841	0.710199498	849.1093635	 
RNASE1	2.266195525	0.190467771	0.264538854	6002.502882	 	-2.388445011	0.148560272	0.309856485	22030.91982	 	-2.58984857	0.047088625	0.08631033	13213.26561	 
CRLS1	1.110808885	0.390080406	0.481973693	829.0695427	 	-1.586316172	0.026896566	0.092393523	1335.08558	 	-1.43888712	0.000326193	0.001037098	1200.831444	 
HCCS	1.481087119	0.017207625	0.031965435	416.3299906	 	-1.036793788	0.896533141	0.941313334	434.8221627	 	-1.284642809	0.066064312	0.115598801	539.7143611	 
TARBP2	-1.90896134	6.86E-12	5.34E-11	1257.933459	 	1.927349692	8.11E-05	0.001004724	659.0940047	 	2.696615316	1.31E-34	2.01E-32	659.0940047	 
TMEM209	-1.904309698	1.64E-10	1.08E-09	1282.473502	 	-1.272990364	0.165020727	0.333394531	856.7843471	 	-1.386522627	9.97E-05	0.000354665	930.7381034	 
AIFM1	-1.434933712	0.002566221	0.005691386	965.5254064	 	-1.040701813	0.84603607	0.911803869	699.3093252	 	-1.038074992	0.707647385	0.793197025	698.8425343	 
